Date,ABB.NS,ESCORTS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS
2022-12-19,2807.15,2132.26,778.52,1353.15,1181.11
2022-12-20,2833.89,2118.95,773.15,1353.11,1191.33
2022-12-21,2752.65,2081.05,765.67,1355.13,1174.39
2022-12-22,2715.63,2019.15,763.05,1366.35,1171.34
2022-12-23,2597.38,1947.57,756.23,1343.95,1136.99
2022-12-26,2639.92,2034.88,771.28,1348.71,1146.92
2022-12-27,2657.36,2019.98,772.06,1359.88,1156.3
2022-12-28,2639.62,2044.56,771.45,1355.66,1156.19
2022-12-29,2600.72,2072.39,776.89,1362.31,1155.66
2022-12-30,2599.56,2071.62,770.67,1353.91,1157.44
2023-01-02,2596.6,2072.05,770.93,1368.1,1170.48
2023-01-03,2605.76,2097.41,775.97,1366.8,1161.91
2023-01-04,2621.07,2076.6,762.1,1341.88,1144.42
2023-01-05,2718.73,2099.01,757.2,1324.29,1142.37
2023-01-06,2755.17,2095.57,754.69,1300.32,1152.76
2023-01-09,2773.09,2138.6,756.16,1332.59,1179.97
2023-01-10,2753.28,2107.53,742.34,1319.4,1162.53
2023-01-11,2810.01,2063.58,753.03,1320.74,1147.87
2023-01-12,2823.52,2042.0,757.06,1329.14,1123.08
2023-01-13,2809.76,2050.13,757.65,1349.83,1121.27
2023-01-16,2783.07,2028.64,750.38,1369.44,1110.59
2023-01-17,2785.54,2037.45,761.56,1382.01,1126.36
2023-01-18,2829.53,2024.14,775.0,1387.31,1124.49
2023-01-19,2827.88,2034.3,778.22,1381.47,1123.29
2023-01-20,2842.51,2027.82,786.19,1369.49,1109.93
2023-01-23,2856.03,2034.35,791.94,1389.64,1104.32
2023-01-24,2853.46,2031.64,802.55,1393.14,1097.8
2023-01-25,2783.99,2021.91,780.37,1385.15,1082.62
2023-01-27,2716.02,1945.83,764.82,1363.74,1062.08
2023-01-30,2727.31,1961.51,764.04,1381.38,1072.26
2023-01-31,2751.19,2021.52,759.0,1376.85,1069.58
2023-02-01,2702.36,1951.68,770.38,1392.43,1063.24
2023-02-02,2743.54,1985.47,758.93,1421.74,1057.36
2023-02-03,2718.59,2010.63,785.17,1435.78,1058.29
2023-02-06,2840.82,1995.87,781.84,1409.26,1050.31
2023-02-07,2929.47,1941.08,783.0,1402.57,1047.79
2023-02-08,2983.68,1919.02,782.9,1427.79,1068.72
2023-02-09,3030.77,1907.11,781.27,1451.58,1070.58
2023-02-10,3067.83,1991.9,784.37,1444.0,1061.76
2023-02-13,2983.87,2013.01,784.96,1407.1,1055.72
2023-02-14,2981.6,1986.58,792.23,1430.26,1080.6
2023-02-15,3051.65,1978.21,790.62,1433.67,1105.07
2023-02-16,3089.24,2022.06,787.75,1437.94,1104.2
2023-02-17,3038.62,2023.27,783.8,1421.78,1108.82
2023-02-20,3075.44,2027.77,776.44,1429.54,1097.09
2023-02-21,3070.83,2039.58,779.35,1417.92,1106.04
2023-02-22,3074.13,2021.04,764.06,1402.03,1080.96
2023-02-23,3040.75,1976.22,758.88,1392.07,1075.78
2023-02-24,3044.29,1951.44,752.11,1392.02,1083.14
2023-02-27,3011.39,1918.29,753.98,1354.9,1075.94
2023-02-28,3117.29,2008.89,757.15,1335.38,1055.36
2023-03-01,3208.47,2019.49,756.42,1343.01,1065.06
2023-03-02,3220.04,1948.78,749.98,1321.55,1056.95
2023-03-03,3225.23,1941.42,764.87,1327.97,1083.92
2023-03-06,3215.25,1949.56,770.26,1353.24,1094.5
2023-03-08,3274.74,1944.91,771.8,1340.0,1098.43
2023-03-09,3282.64,1902.66,771.87,1328.96,1072.03
2023-03-10,3272.36,1900.43,751.97,1321.01,1055.42
2023-03-13,3172.62,1864.37,742.46,1288.29,1038.07
2023-03-14,3208.18,1855.66,740.47,1274.74,1034.18
2023-03-15,3199.55,1829.04,729.84,1274.42,1016.51
2023-03-16,3224.45,1835.33,734.57,1260.46,1011.44
2023-03-17,3209.53,1849.42,744.4,1275.36,1010.17
2023-03-20,3196.26,1848.06,739.24,1260.06,1000.24
